Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.46-20.54.110.119-51889-443-6,192.168.1.46,51889,20.54.110.119,443,6,24/01/2024 11:15:48 PM,367469,12,12,2092.0,5416.0,1301.0,0.0,174.33333333333334,368.3608244231422,1320.0,0.0,451.33333333333337,622.8909627817308,20431.655459372083,65.31163172947922,15976.913043478264,28465.440697150712,89491.0,0.0,290617.0,26419.727272727272,33323.92408493006,89491.0,19.0,277918.0,25265.272727272728,34397.040026987524,84514.0,0.0,0,0,0,0,252,264,32.65581586473961,32.65581586473961,0.0,1320.0,300.31999999999994,512.9504297038197,263118.1433333333,0,1,0,0,0,0,0,0,1.0,312.8333333333333,174.33333333333334,451.3333333333333,0,0,0,0,0,0,12,2092,12,5416,-1,16386,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-20.189.173.14-51890-443-6,192.168.1.46,51890,20.189.173.14,443,6,24/01/2024 11:15:51 PM,1138342,13,14,2520.0,4936.0,1320.0,0.0,193.84615384615387,385.1261365132741,1320.0,0.0,352.5714285714286,544.9789994945767,6549.876926266447,23.71870668041766,43782.38461538461,80109.08605948613,215496.0,0.0,929011.0,77417.58333333333,116326.87100225057,315951.0,0.0,1131439.0,87033.76923076925,118960.90350555922,339010.0,0.0,0,0,0,0,272,328,11.420118031312207,12.298588649105454,0.0,1320.0,266.2857142857143,466.83535499922095,217935.24867724866,0,1,0,0,0,0,0,0,1.0,276.14814814814815,193.84615384615384,352.57142857142856,0,0,0,0,0,0,13,2520,14,4936,-1,16386,7,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-20.190.181.0-51892-443-6,192.168.1.46,51892,20.190.181.0,443,6,24/01/2024 11:15:54 PM,402862,9,17,5542.0,13458.0,1320.0,0.0,615.7777777777778,578.2233084582845,1320.0,0.0,791.6470588235294,652.2361479150468,47162.55194086312,64.53822897170744,16114.479999999994,34246.054624486795,130845.0,0.0,163279.0,20409.875,34894.0185886902,93452.0,0.0,402862.0,25178.875,42205.38669707932,130845.0,0.0,0,0,0,0,180,376,22.34015618251411,42.19807278919332,0.0,1320.0,703.7037037037037,625.656136499596,391445.6011396011,0,1,0,0,0,0,0,0,1.0,730.7692307692307,615.7777777777778,791.6470588235294,0,0,0,0,0,0,9,5542,17,13458,-1,16386,7,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-20.190.181.0-51892-443-6,20.190.181.0,443,192.168.1.46,51892,6,24/01/2024 11:15:54 PM,5580,0,5,0.0,1351.0,0,0,0,0,1320.0,0.0,270.2,587.0095399565496,242114.69534050178,896.0573476702509,1395.0,2715.4256879293653,5468.0,21.0,0,0,0,0,0,5580.0,1395.0,2715.4256879293653,5468.0,21.0,0,0,0,0,0,112,0.0,896.0573476702509,0.0,1320.0,445.1666666666667,677.7493391119365,459344.1666666667,0,0,0,0,1,0,0,0,0.0,534.2,0.0,270.2,0,0,0,0,0,0,0,0,5,1351,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-20.190.181.0-51891-443-6,192.168.1.46,51891,20.190.181.0,443,6,24/01/2024 11:15:54 PM,413632,11,15,5542.0,13458.0,1320.0,0.0,503.81818181818187,574.0398624105853,1320.0,0.0,897.2,620.2568822673393,45934.55051833514,62.857805972458614,16545.280000000002,33476.404673690195,117342.0,0.0,358410.0,35840.99999999999,60261.08767871869,180035.0,0.0,413632.0,29545.14285714286,43379.30428185798,117342.0,0.0,0,0,0,0,220,324,26.593687142194028,36.264118830264586,0.0,1320.0,703.7037037037037,625.6561364995961,391445.6011396012,0,1,0,0,0,0,0,0,1.0,730.7692307692307,503.8181818181818,897.2,0,0,0,0,0,0,11,5542,15,13458,-1,16386,7,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-20.190.181.0-51891-443-6,20.190.181.0,443,192.168.1.46,51891,6,24/01/2024 11:15:54 PM,189,0,5,0.0,1351.0,0,0,0,0,1320.0,0.0,270.2,587.0095399565496,7148148.148148147,26455.026455026455,47.25,63.27914348345749,142.0,13.0,0,0,0,0,0,189.0,47.25,63.27914348345749,142.0,13.0,0,0,0,0,0,112,0.0,26455.026455026455,0.0,1320.0,445.1666666666667,677.7493391119365,459344.1666666667,0,0,0,0,1,0,0,0,0.0,534.2,0.0,270.2,0,0,0,0,0,0,0,0,5,1351,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-4.231.128.59-51893-443-6,192.168.1.46,51893,4.231.128.59,443,6,24/01/2024 11:15:54 PM,314593,12,13,2711.0,7153.0,1320.0,0.0,225.91666666666669,427.06577273579796,1320.0,0.0,550.2307692307693,622.4239115273654,31354.798104217192,79.4677567523753,13108.041666666668,21735.239260101112,59498.0,0.0,259347.0,23577.0,32633.55711533758,99909.0,0.0,313659.0,26138.250000000004,32830.27203698939,78258.0,0.0,0,0,0,0,240,284,38.144523241140135,41.32323351123515,0.0,1320.0,379.38461538461536,546.3034378015996,298447.44615384616,0,1,0,0,0,0,0,0,1.0,394.56,225.91666666666666,550.2307692307693,0,0,0,0,0,0,12,2711,13,7153,-1,16382,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-4.231.128.59-51894-443-6,192.168.1.46,51894,4.231.128.59,443,6,24/01/2024 11:15:54 PM,369207,14,14,2711.0,7153.0,1320.0,0.0,193.64285714285714,401.3181372088075,1320.0,0.0,510.92857142857144,615.8213357642113,26716.719888842843,75.8382154184509,13674.333333333336,20819.666322235593,58855.0,0.0,314050.0,24157.692307692305,30078.986489420968,94910.0,0.0,341154.0,26242.615384615387,31330.432254541432,75176.0,0.0,0,0,0,0,304,304,37.91910770922545,37.91910770922545,0.0,1320.0,340.13793103448273,529.4308078451484,280296.98029556643,0,1,0,0,0,0,0,0,1.0,352.2857142857143,193.64285714285714,510.92857142857144,0,0,0,0,0,0,14,2711,14,7153,-1,16382,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-92.122.125.32-51716-443-6,192.168.1.46,51716,92.122.125.32,443,6,24/01/2024 11:15:26 PM,29933569,0,4,0.0,25.0,0,0,0,0,24.0,0.0,6.249999999999999,11.84271928232701,0.8351827341403893,0.1336292374624623,9977856.333333332,1.7257643611472E7,2.990526E7,0.0,0,0,0,0,0,2.9933569E7,9977856.333333332,1.7257643611472E7,2.990526E7,0.0,0,0,0,0,0,92,0.0,0.1336292374624623,0.0,24.0,5.2,10.52140675005011,110.7,0,0,0,0,1,0,0,0,0.0,6.5,0.0,6.25,0,0,0,0,0,0,0,0,4,25,-1,501,0,0,28309.0,0.0,28309.0,28309.0,2.990526E7,0.0,2.990526E7,2.990526E7,No Label
192.168.1.46-92.122.125.32-51716-443-6,192.168.1.46,51716,92.122.125.32,443,6,24/01/2024 11:15:56 PM,3564,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.1672278338946,3564.0,0.0,3564.0,3564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,280.5836139169473,280.5836139169473,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
